time,open,high,low,close,volume
1778407200,80815,80815,80746,80789,0
1778409000,80777,80795,80708,80795,0
1778410800,80804,80866,80760,80866,0
1778412600,80941,80941,80769,80812,0
1778414400,80779,80823,80779,80823,0
1778416200,80775,80882,80775,80882,0
1778418000,80905,80907,80871,80887,0
1778419800,80893,80962,80893,80951,0
1778421600,80955,80960,80922,80935,0
1778423400,80943,80948,80894,80894,0
1778425200,80953,80963,80823,80963,0
1778427000,80932,81041,80932,80963,0
1778428800,80962,81346,80962,81346,0
1778430600,81405,81435,81272,81272,0
1778432400,81195,81328,81195,81324,0
1778434200,81348,81399,81257,81358,0
1778436000,81339,81516,81291,81443,0
1778437800,81450,81450,81346,81346,0
1778439600,81343,81343,81241,81265,0
1778441400,81180,81455,81180,81455,0
1778443200,81418,81418,81321,81411,0
1778445000,81416,81431,81048,81131,0
1778446800,80959,81068,80520,80687,0
1778448600,80869,80869,80638,80788,0
1778450400,80892,80892,80720,80720,0
1778452200,80967,81568,80967,81568,0
1778454000,81889,82028,81864,82026,0
1778455800,82256,82300,82243,82243,0
1778457600,82220,82348,82146,82146,0
1778459400,82147,82147,81664,81664,0
1778461200,81765,81765,81317,81317,0
1778463000,81434,81690,81361,81637,0
1778464800,81628,81628,81469,81472,0
1778466600,81523,81523,81214,81214,0
1778468400,81148,81204,81147,81180,0
1778470200,81126,81126,80577,80577,0
1778472000,80581,80720,80581,80695,0
1778473800,80697,80727,80675,80725,0
1778475600,80777,80826,80777,80826,0
1778477400,80859,80943,80826,80943,0
1778479200,80955,80955,80780,80821,0
1778481000,80792,80959,80792,80959,0
1778482800,80953,80953,80789,80842,0
1778484600,80739,80765,80693,80725,0
1778486400,80684,80765,80684,80710,0
1778488200,80704,80743,80686,80743,0
1778490000,80656,80814,80656,80741,0
1778491800,80772,80917,80772,80908,0
